Sample,Time,Decoder,Ann Row,Ann Class,Value,
354201,3.542 ms,SPI,MOSI data,MOSI data,E0,
354457,3.545 ms,SPI,MOSI data,MOSI data,07,
354713,3.547 ms,SPI,MOSI data,MOSI data,E0,
354969,3.550 ms,SPI,MOSI data,MOSI data,07,
355225,3.552 ms,SPI,MOSI data,MOSI data,E0,
355481,3.555 ms,SPI,MOSI data,MOSI data,07,
355737,3.557 ms,SPI,MOSI data,MOSI data,E0,
355993,3.560 ms,SPI,MOSI data,MOSI data,07,
356249,3.562 ms,SPI,MOSI data,MOSI data,E0,
356505,3.565 ms,SPI,MOSI data,MOSI data,07,
356761,3.568 ms,SPI,MOSI data,MOSI data,E0,
357017,3.570 ms,SPI,MOSI data,MOSI data,07,
357273,3.573 ms,SPI,MOSI data,MOSI data,E0,
357529,3.575 ms,SPI,MOSI data,MOSI data,07,
357785,3.578 ms,SPI,MOSI data,MOSI data,E0,
358041,3.580 ms,SPI,MOSI data,MOSI data,07,
358297,3.583 ms,SPI,MOSI data,MOSI data,E0,
358553,3.586 ms,SPI,MOSI data,MOSI data,07,
358809,3.588 ms,SPI,MOSI data,MOSI data,E0,
359297,3.593 ms,SPI,MOSI data,MOSI data,2A,
359713,3.597 ms,SPI,MOSI data,MOSI data,00,
360097,3.601 ms,SPI,MOSI data,MOSI data,AA,
360513,3.605 ms,SPI,MOSI data,MOSI data,00,
360897,3.609 ms,SPI,MOSI data,MOSI data,B1,
361313,3.613 ms,SPI,MOSI data,MOSI data,2B,
361729,3.617 ms,SPI,MOSI data,MOSI data,00,
362113,3.621 ms,SPI,MOSI data,MOSI data,AA,
362529,3.625 ms,SPI,MOSI data,MOSI data,00,
362913,3.629 ms,SPI,MOSI data,MOSI data,B1,
363329,3.633 ms,SPI,MOSI data,MOSI data,2C,
363850,3.638 ms,SPI,MOSI data,MOSI data,07,
364106,3.641 ms,SPI,MOSI data,MOSI data,E0,
364362,3.644 ms,SPI,MOSI data,MOSI data,07,
364618,3.646 ms,SPI,MOSI data,MOSI data,E0,
364874,3.649 ms,SPI,MOSI data,MOSI data,07,
365130,3.651 ms,SPI,MOSI data,MOSI data,E0,
365386,3.654 ms,SPI,MOSI data,MOSI data,07,
365642,3.656 ms,SPI,MOSI data,MOSI data,E0,
365898,3.659 ms,SPI,MOSI data,MOSI data,07,
366154,3.662 ms,SPI,MOSI data,MOSI data,E0,
366410,3.664 ms,SPI,MOSI data,MOSI data,07,
366666,3.667 ms,SPI,MOSI data,MOSI data,E0,
366922,3.669 ms,SPI,MOSI data,MOSI data,07,
