Sample,Time,Decoder,Ann Row,Ann Class,Value,
335206,3.352 ms,SPI,MOSI data,MOSI data,00,
335462,3.355 ms,SPI,MOSI data,MOSI data,1F,
335718,3.357 ms,SPI,MOSI data,MOSI data,00,
335974,3.360 ms,SPI,MOSI data,MOSI data,1F,
336230,3.362 ms,SPI,MOSI data,MOSI data,00,
336486,3.365 ms,SPI,MOSI data,MOSI data,1F,
336742,3.367 ms,SPI,MOSI data,MOSI data,00,
336998,3.370 ms,SPI,MOSI data,MOSI data,1F,
337254,3.373 ms,SPI,MOSI data,MOSI data,00,
337510,3.375 ms,SPI,MOSI data,MOSI data,1F,
337766,3.378 ms,SPI,MOSI data,MOSI data,00,
338022,3.380 ms,SPI,MOSI data,MOSI data,1F,
338278,3.383 ms,SPI,MOSI data,MOSI data,00,
338534,3.385 ms,SPI,MOSI data,MOSI data,1F,
338790,3.388 ms,SPI,MOSI data,MOSI data,00,
339046,3.390 ms,SPI,MOSI data,MOSI data,1F,
339302,3.393 ms,SPI,MOSI data,MOSI data,00,
339558,3.396 ms,SPI,MOSI data,MOSI data,1F,
339814,3.398 ms,SPI,MOSI data,MOSI data,00,
340070,3.401 ms,SPI,MOSI data,MOSI data,1F,
340326,3.403 ms,SPI,MOSI data,MOSI data,00,
340582,3.406 ms,SPI,MOSI data,MOSI data,1F,
340838,3.408 ms,SPI,MOSI data,MOSI data,00,
341094,3.411 ms,SPI,MOSI data,MOSI data,1F,
341350,3.413 ms,SPI,MOSI data,MOSI data,00,
341606,3.416 ms,SPI,MOSI data,MOSI data,1F,
341862,3.419 ms,SPI,MOSI data,MOSI data,00,
342118,3.421 ms,SPI,MOSI data,MOSI data,1F,
342374,3.424 ms,SPI,MOSI data,MOSI data,00,
342630,3.426 ms,SPI,MOSI data,MOSI data,1F,
342886,3.429 ms,SPI,MOSI data,MOSI data,00,
343142,3.431 ms,SPI,MOSI data,MOSI data,1F,
343398,3.434 ms,SPI,MOSI data,MOSI data,00,
343654,3.437 ms,SPI,MOSI data,MOSI data,1F,
343910,3.439 ms,SPI,MOSI data,MOSI data,00,
344166,3.442 ms,SPI,MOSI data,MOSI data,1F,
344422,3.444 ms,SPI,MOSI data,MOSI data,00,
344678,3.447 ms,SPI,MOSI data,MOSI data,1F,
344934,3.449 ms,SPI,MOSI data,MOSI data,00,
345190,3.452 ms,SPI,MOSI data,MOSI data,1F,
345446,3.454 ms,SPI,MOSI data,MOSI data,00,
345702,3.457 ms,SPI,MOSI data,MOSI data,1F,
345958,3.460 ms,SPI,MOSI data,MOSI data,00,
346214,3.462 ms,SPI,MOSI data,MOSI data,1F,
346470,3.465 ms,SPI,MOSI data,MOSI data,00,
346726,3.467 ms,SPI,MOSI data,MOSI data,1F,
346982,3.470 ms,SPI,MOSI data,MOSI data,00,
347238,3.472 ms,SPI,MOSI data,MOSI data,1F,
347494,3.475 ms,SPI,MOSI data,MOSI data,00,
347750,3.478 ms,SPI,MOSI data,MOSI data,1F,
348006,3.480 ms,SPI,MOSI data,MOSI data,00,
348262,3.483 ms,SPI,MOSI data,MOSI data,1F,
348518,3.485 ms,SPI,MOSI data,MOSI data,00,
348774,3.488 ms,SPI,MOSI data,MOSI data,1F,
